Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,22963,22652,22643.0
00:05,21438,22390,22584.0
00:10,21438,22390,22600.0
00:15,21438,22390,22397.0
00:20,21438,22097,22293.0
00:25,21438,22097,22220.0
00:30,21438,22097,22068.0
00:35,21438,21774,22007.0
00:40,21438,21774,21942.0
00:45,21438,21774,21834.0
00:50,21438,21566,21777.0
00:55,21438,21566,21700.0
01:00,21438,21566,21622.0
01:05,20537,21366,21550.0
01:10,20537,21366,21496.0
01:15,20537,21366,21437.0
01:20,20537,21185,21357.0
01:25,20537,21185,21312.0
01:30,20537,21185,21277.0
01:35,20537,20997,21248.0
01:40,20537,20997,21129.0
01:45,20537,20997,21041.0
01:50,20537,20885,20962.0
01:55,20537,20885,20907.0
02:00,20537,20885,20883.0
02:05,19946,20720,20833.0
02:10,19946,20720,20818.0
02:15,19946,20720,20767.0
02:20,19946,20626,20735.0
02:25,19946,20626,20696.0
02:30,19946,20626,20699.0
02:35,19946,20533,20622.0
02:40,19946,20533,20561.0
02:45,19946,20533,20529.0
02:50,19946,20458,20504.0
02:55,19946,20458,20466.0
03:00,19946,20458,20471.0
03:05,19750,20426,20455.0
03:10,19750,20426,20491.0
03:15,19750,20426,20465.0
03:20,19750,20427,20463.0
03:25,19750,20427,20437.0
03:30,19750,20427,20415.0
03:35,19750,20397,20435.0
03:40,19750,20397,20450.0
03:45,19750,20397,20444.0
03:50,19750,20551,20435.0
03:55,19750,20551,20417.0
04:00,19750,20551,20448.0
04:05,20075,20654,20513.0
04:10,20075,20654,20622.0
04:15,20075,20654,20639.0
04:20,20075,20774,20666.0
04:25,20075,20774,20736.0
04:30,20075,20774,20765.0
04:35,20075,20944,20830.0
04:40,20075,20944,20824.0
04:45,20075,20944,20903.0
04:50,20075,21300,21002.0
04:55,20075,21300,20993.0
05:00,20075,21300,21039.0
05:05,21304,21614,21256.0
05:10,21304,21614,21437.0
05:15,21304,21614,21567.0
05:20,21304,21897,21656.0
05:25,21304,21897,21725.0
05:30,21304,21897,21798.0
05:35,21304,22194,21916.0
05:40,21304,22194,22035.0
05:45,21304,22194,22171.0
05:50,21304,22748,22371.0
05:55,21304,22748,22418.0
06:00,21304,22748,22493.0
06:05,22930,23150,22755.0
06:10,22930,23150,22951.0
06:15,22930,23150,23009.0
06:20,22930,23235,23078.0
06:25,22930,23235,23104.0
06:30,22930,23235,23149.0
06:35,22930,23345,23209.0
06:40,22930,23345,23244.0
06:45,22930,23345,23306.0
06:50,22930,23669,23332.0
06:55,22930,23669,23397.0
07:00,22930,23669,23463.0
07:05,23533,23835,23592.0
07:10,23533,23835,23727.0
07:15,23533,23835,23816.0
07:20,23533,23897,23928.0
07:25,23533,23897,23915.0
07:30,23533,23897,23886.0
07:35,23533,23885,23990.0
07:40,23533,23885,23953.0
07:45,23533,23885,23948.0
07:50,23533,23928,23921.0
07:55,23533,23928,23879.0
08:00,23533,23928,23860.0
08:05,23197,23833,23936.0
08:10,23197,23833,23957.0
08:15,23197,23833,23929.0
08:20,23197,23699,23902.0
08:25,23197,23699,23829.0
08:30,23197,23699,23836.0
08:35,23197,23554,23735.0
08:40,23197,23554,23712.0
08:45,23197,23554,23550.0
08:50,23197,23398,23491.0
08:55,23197,23398,23436.0
09:00,23197,23398,23376.0
09:05,22327,23133,23341.0
09:10,22327,23133,23266.0
09:15,22327,23133,23215.0
09:20,22327,22866,23086.0
09:25,22327,22866,23035.0
09:30,22327,22866,22954.0
09:35,22327,22588,22866.0
09:40,22327,22588,22702.0
09:45,22327,22588,22644.0
09:50,22327,22402,22554.0
09:55,22327,22402,22476.0
10:00,22327,22402,22432.0
10:05,21351,22227,22380.0
10:10,21351,22227,22332.0
10:15,21351,22227,22245.0
10:20,21351,22051,22309.0
10:25,21351,22051,22140.0
10:30,21351,22051,22018.0
10:35,21351,21892,21974.0
10:40,21351,21892,21953.0
10:45,21351,21892,21914.0
10:50,21351,21696,21849.0
10:55,21351,21696,21764.0
11:00,21351,21696,21751.0
11:05,20843,21671,21719.0
11:10,20843,21671,21618.0
11:15,20843,21671,21510.0
11:20,20843,21514,21417.0
11:25,20843,21514,21413.0
11:30,20843,21514,21477.0
11:35,20843,21321,21411.0
11:40,20843,21321,21268.0
11:45,20843,21321,21254.0
11:50,20843,21225,21319.0
11:55,20843,21225,21214.0
12:00,20843,21225,21134.0
12:05,20934,21155,21211.0
12:10,20934,21155,21254.0
12:15,20934,21155,21185.0
12:20,20934,21148,21199.0
12:25,20934,21148,21158.0
12:30,20934,21148,21134.0
12:35,20934,21200,21121.0
12:40,20934,21200,21168.0
12:45,20934,21200,21177.0
12:50,20934,21252,21291.0
12:55,20934,21252,21250.0
13:00,20934,21252,21294.0
13:05,21166,21429,21331.0
13:10,21166,21429,21299.0
13:15,21166,21429,21377.0
13:20,21166,21467,21443.0
13:25,21166,21467,21592.0
13:30,21166,21467,21512.0
13:35,21166,21688,21485.0
13:40,21166,21688,21518.0
13:45,21166,21688,21516.0
13:50,21166,21648,21565.0
13:55,21166,21648,21586.0
14:00,21166,21648,21631.0
14:05,21584,21743,21693.0
14:10,21584,21743,21585.0
14:15,21584,21743,21620.0
14:20,21584,21884,21727.0
14:25,21584,21884,21740.0
14:30,21584,21884,21746.0
14:35,21584,21931,21779.0
14:40,21584,21931,21791.0
14:45,21584,21931,21845.0
14:50,21584,22072,21920.0
14:55,21584,22072,21961.0
15:00,21584,22072,21989.0
15:05,22186,22271,22032.0
15:10,22186,22271,22061.0
15:15,22186,22271,22102.0
15:20,22186,22411,22353.0
15:25,22186,22411,22441.0
15:30,22186,22411,22474.0
15:35,22186,22800,22477.0
15:40,22186,22800,22434.0
15:45,22186,22800,22506.0
15:50,22186,22842,22626.0
15:55,22186,22842,22674.0
16:00,22186,22842,22698.0
16:05,23201,23023,22743.0
16:10,23201,23023,22863.0
16:15,23201,23023,22936.0
16:20,23201,23242,23023.0
16:25,23201,23242,23088.0
16:30,23201,23242,23108.0
16:35,23201,23558,23216.0
16:40,23201,23558,23332.0
16:45,23201,23558,23478.0
16:50,23201,23729,23640.0
16:55,23201,23729,23917.0
17:00,23201,23729,24009.0
17:05,24501,24246,23969.0
17:10,24501,24246,24006.0
17:15,24501,24246,24084.0
17:20,24501,24514,24197.0
17:25,24501,24514,24356.0
17:30,24501,24514,24417.0
17:35,24501,24836,24570.0
17:40,24501,24836,24777.0
17:45,24501,24836,24868.0
17:50,24501,25183,25058.0
17:55,24501,25183,25210.0
18:00,24501,25183,25375.0
18:05,25798,25571,25406.0
18:10,25798,25571,25481.0
18:15,25798,25571,25533.0
18:20,25798,25860,25673.0
18:25,25798,25860,25786.0
18:30,25798,25860,25866.0
18:35,25798,26069,25925.0
18:40,25798,26069,26016.0
18:45,25798,26069,26074.0
18:50,25798,26237,26122.0
18:55,25798,26237,26212.0
19:00,25798,26237,26202.0
19:05,26792,26531,26323.0
19:10,26792,26531,26365.0
19:15,26792,26531,26394.0
19:20,26792,26879,26474.0
19:25,26792,26879,26574.0
19:30,26792,26879,26672.0
19:35,26792,27127,26817.0
19:40,26792,27127,26941.0
19:45,26792,27127,27065.0
19:50,26792,27270,27159.0
19:55,26792,27270,27211.0
20:00,26792,27270,27244.0
20:05,26919,27224,27215.0
20:10,26919,27224,27200.0
20:15,26919,27224,27180.0
20:20,26919,26957,27118.0
20:25,26919,26957,27077.0
20:30,26919,26957,26978.0
20:35,26919,26659,26920.0
20:40,26919,26659,26829.0
20:45,26919,26659,26769.0
20:50,26919,26367,26658.0
20:55,26919,26367,26598.0
21:00,26919,26367,26577.0
21:05,25744,26133,26474.0
21:10,25744,26133,26392.0
21:15,25744,26133,26299.0
21:20,25744,25915,26213.0
21:25,25744,25915,26102.0
21:30,25744,25915,26135.0
21:35,25744,25525,25985.0
21:40,25744,25525,25888.0
21:45,25744,25525,25764.0
21:50,25744,25172,25627.0
21:55,25744,25172,25486.0
22:00,25744,25172,25285.0
22:05,23928,24723,25051.0
22:10,23928,24723,24898.0
22:15,23928,24723,24758.0
22:20,23928,24248,24603.0
22:25,23928,24248,24424.0
22:30,23928,24248,24278.0
22:35,23928,23788,24133.0
22:40,23928,23788,23998.0
22:45,23928,23788,23824.0
22:50,23928,23257,23692.0
22:55,23928,23257,23537.0
23:00,23928,23257,23366.0
23:05,22321,22879,23231.0
23:10,22321,22879,23153.0
23:15,22321,22879,23012.0
23:20,22321,22583,22892.0
23:25,22321,22583,22811.0
23:30,22321,22583,22689.0
23:35,22321,22318,22593.0
23:40,22321,22318,22507.0
23:45,22321,22318,22377.0
23:50,22321,22069,22285.0
23:55,22321,22069,22211.0
