Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0.0,1635.0,966.0,218.0,245.0,490.0,19.0,1123.0,8005.0,4076.0,31.0,4825.0,0.0
00:05,0.0,1625.0,967.0,220.0,244.0,491.0,19.0,1123.0,8155.0,3908.0,71.0,4943.0,0.0
00:10,0.0,1608.0,967.0,220.0,244.0,493.0,19.0,1123.0,8137.0,4023.0,37.0,4987.0,0.0
00:15,0.0,1616.0,967.0,222.0,245.0,491.0,20.0,1123.0,7980.0,4024.0,-35.0,5123.0,0.0
00:20,0.0,1612.0,966.0,220.0,245.0,483.0,21.0,1123.0,7994.0,4001.0,-64.0,5123.0,0.0
00:25,0.0,1604.0,967.0,217.0,244.0,483.0,20.0,1123.0,7983.0,3988.0,-66.0,5068.0,0.0
00:30,0.0,1593.0,966.0,218.0,245.0,479.0,21.0,1123.0,7968.0,3961.0,-65.0,5047.0,0.0
00:35,0.0,1583.0,967.0,219.0,245.0,481.0,20.0,1123.0,8007.0,3949.0,-79.0,5018.0,0.0
00:40,0.0,1599.0,966.0,219.0,244.0,481.0,21.0,1123.0,8059.0,3921.0,-93.0,4939.0,0.0
00:45,0.0,1676.0,966.0,218.0,242.0,481.0,21.0,1123.0,7960.0,3910.0,-78.0,4863.0,0.0
00:50,0.0,1727.0,966.0,217.0,240.0,483.0,20.0,1123.0,7916.0,3907.0,-82.0,4771.0,0.0
00:55,0.0,1752.0,967.0,218.0,238.0,482.0,20.0,1123.0,7860.0,3913.0,-83.0,4687.0,0.0
01:00,0.0,1804.0,967.0,219.0,236.0,483.0,19.0,1123.0,7767.0,3929.0,-42.0,4596.0,0.0
01:05,0.0,1864.0,967.0,217.0,234.0,482.0,19.0,1123.0,7671.0,3817.0,-82.0,4628.0,0.0
01:10,0.0,1889.0,968.0,214.0,234.0,485.0,19.0,1123.0,7626.0,3801.0,-75.0,4676.0,0.0
01:15,0.0,1914.0,967.0,214.0,234.0,486.0,19.0,1123.0,7570.0,3783.0,-87.0,4666.0,0.0
01:20,0.0,1943.0,968.0,213.0,234.0,481.0,18.0,1123.0,7571.0,3783.0,-58.0,4558.0,0.0
